userName,date,goodsNo,userSexMen,userSexWomen,userHeight,userWeight,goodsSize,reviewContent,review_img,size,bright,color,thickness,weightness,touch,helpNo,styleLikeNo
wnddjf,2021.02.02,1693591,1,0, 176cm, 74kg,50(105),['80가까이 살이 쪄서 고민 끝에 한사이즈 올렸는데 팔기장 빼면 전체적으로 넉넉하게 잘맞습니다. 살빼면 오버사이즈가 될듯요. 디자인 재질 고급스러워요 만족합니다.'],,2,2,2,2,0,0,0,0
wnddjf,2021.03.12,1693591,1,0, 176cm, 74kg,50(105),['세일때 그나마 저렴하게 샀네요 디자인 딱 내스타일'],https://image.msscdn.net/data/estimate/1693591_0/gallery_604b7ec8cdf4c.jpg.view,2,2,2,2,0,0,0,0
빙수아,2021.11.01,1529578,1,0, 177cm, 90kg,FREE,['제가 원하던 오버핏이라서 맘에들어요 색도 밝아서 좋아요'],https://image.msscdn.net/data/estimate/1529578_0/gallery_617fca083b363.jpg.view,1,1,2,3,0,0,0,0
인생은서커스,2021.10.17,1529578,0,1, 166cm, 80kg,FREE,['바람막이 소재의 얇은 후디입니다. 가볍에 입기 좋을 거 같아서 구매했어요. 저녁에 운동하러 갈때도 편하게 입을 수 있어 맘에 듭니다. 쌀쌀할 때 보온효과도 있어요.'],https://image.msscdn.net/data/estimate/1529578_0/gallery_616bea563221d.jpg.view,2,2,2,3,0,0,0,0
빠빠빠빠빨간맛,2021.12.28,1529578,1,0, 172cm, 74kg,FREE,['블랙으서 샀는데 이뻐서 챠콜로 하나 더 장만했습니다.'],,2,2,2,3,0,0,0,0
빙수아,2021.11.01,1529578,1,0, 177cm, 90kg,FREE,['색깔이 밝아서 눈에 확 보이네요 사이즈도  오버핏으로 잘 맞고 예뻐요'],,1,1,2,3,0,0,0,0
인생은서커스,2021.09.24,1529578,0,1, 166cm, 80kg,FREE,['놀러갈 때 위아래 셋트로 사서 입으면 좋을 거 같아서 구매했어요. 가볍고 통풍도 잘되고 활동성이 좋아 편합니다. 재질도 약간 반딱 거리는 느낌이라 힙한 스타일링하기 좋습니다. 헐렁해서 좋아요.'],,2,2,2,3,0,0,0,0
없음돠,2020.09.15,1529578,1,0, 180cm, 85kg,FREE,"['매년 바람막이 하나씩만 구매하는데 이번엔 이걸로 정했습니다', <br/>, '다 좋은데 제 기준으론 총장쫌만 더 길었으면 하는 아쉬움이..']",,2,3,3,3,0,0,0,0
씨엠브이,2020.09.01,1529578,1,0, 174cm, 68kg,FREE,['근래에 산 옷들중에서는 최고로 이쁩니다 더워도 입고다닙니다 키키'],,2,2,2,2,0,0,0,0
까망이3,2020.08.20,1529578,1,0, 179cm, 68kg,FREE,['그렇게 크지 않았고 모자가 별로 안 이쁘네요 조금 아쉬움'],,2,3,2,3,0,0,0,0
인생은서커스,2021.10.17,1529578,0,1, 166cm, 80kg,FREE,['바람막이 소재의 얇은 후디입니다. 가볍에 입기 좋을 거 같아서 구매했어요. 운동하러 갈때도 편하게 입을 수 있어 맘에 듭니다.'],https://image.msscdn.net/data/estimate/1529578_0/gallery_616be98664f2e.jpg.view,2,2,2,3,0,0,0,0
5jos,2022.03.04,2178788,1,0, 169cm, 68kg,2,"['뭔가 좀더 와일드한 느낌을 생각했었는데 얌전하네요', <br/>, '옷 자체는 이쁩니다 질도 좋네요', <br/>, '소매 끝부분이나 이런 부분들이 좀더 와일드햇으면 느낌있었을듯']",https://image.msscdn.net/data/estimate/2178788_0/gallery_62208225a02f2.jpg.view,2,2,2,2,0,0,0,0
5jos,2022.03.04,2178788,1,0, 169cm, 68kg,2,"['뭔가 좀더 와일드한 느낌을 생각했었는데 얌전하네요', <br/>, '옷 자체는 이쁩니다 질도 좋네요', <br/>, '소매 끝부분이나 이런 부분들이 좀더 와일드햇으면 느낌있었을듯']",,2,2,2,2,0,0,0,0
아마모리,2022.02.23,2178788,0,1, 165cm, 60kg,2,['이뻐여 넉넉하고 이쁘구 고급진 재질에 가격이 조금 그렇긴 하지만 세일 안먹인 정가에 살만은 안해요 다만 이가격 정도면 살만해요 그래서 두개 다 삿어요'],,2,2,2,3,0,0,0,0
브론즈_a31cbbf6981,2021.12.23,2178788,1,0, 173cm, 60kg,2,['사이즈도 적당하고 옷도 이뻐서 자주입고다닐거같아요!'],,2,2,2,2,0,0,0,0
5jos,2022.03.04,2178788,1,0, 169cm, 68kg,2,"['뭔가 좀더 와일드한 느낌을 생각했었는데 얌전하네요', <br/>, '옷 자체는 이쁩니다 질도 좋네요', <br/>, '소매 끝부분이나 이런 부분들이 좀더 와일드햇으면 느낌있었을듯']",https://image.msscdn.net/data/estimate/2178788_0/gallery_62208256ce99c.jpg.view,2,2,2,2,0,0,0,0
브론즈_a31cbbf6981,2021.12.23,2178788,1,0, 173cm, 60kg,2,['사이즈도 적당하고 옷도 이뻐서 자주입고다닐거같아요!'],https://image.msscdn.net/data/estimate/2178788_0/gallery_61c3fe5fb0e14.jpg.view,2,2,2,2,0,0,0,0
