userName,date,goodsNo,userSexMen,userSexWomen,userHeight,userWeight,goodsSize,reviewContent,reviewImg,reviewStyle,size,bright,color,thickness,weightness,touch,helpNo,styleLikeNo
VviOh,2022.03.13,2352974,0,1, 168cm, 51kg,HEATHERGRAY/SMALLHEATHERGRAY:MEDIUM,['데일리로 입기 좋고 맨투맨 뒤에있는 하늘색 글씨부분도 예쁨 상큼함'],https://image.msscdn.net/data/estimate/2352974_0/gallery_622d549da78d0.jpg.view,1,2,1,1,3,0,0,0,0
후디이,2022.03.04,2352974,0,1, 166cm, 66kg,BLACK/MEDIUMBLACK:LARGE,['티는 핏이 딱 예쁜데 바지가 눠무 눠무 뒈박 커요.  봄가을 입기 좋을 두께입니당'],https://image.msscdn.net/data/estimate/2352974_0/gallery_62216ea6234ac.jpg.view,1,2,3,2,1,0,0,0,0
nonfiction,2022.02.26,2352974,0,1, 158cm, 50kg,HEATHERGRAY/SMALLHEATHERGRAY:SMALL,"['너무예뻐요! 쇼핑몰에서 사면 다 딱맞게 나오는데', <br/>, '요건 s인데도 너무 작지 않게 잘 맞아서 찰떡 ㅠ', <br/>, '너무 후줄근해 보이지도 않아서 꾸안꾸로 잘 입을듯해요♡︎ 기모 없고 가볍습니다']",https://image.msscdn.net/data/estimate/2352974_0/gallery_6219a6182d700.jpg.view,1,2,2,2,2,0,0,0,0
dasorrr,2022.02.26,2352974,0,1, 160cm, 50kg,HEATHERGRAY/SMALLHEATHERGRAY:SMALL,['핏이랑 색은 맘에 들어요! 주변에서 본적 없는것 같아서 그것도 좋음 근데 매우매우 얇아요'],https://image.msscdn.net/data/estimate/2352974_0/gallery_621857b64a39f.jpg.view,1,2,2,2,3,0,0,0,0
모의고사,2022.02.24,2352974,0,1, 174cm, 60kg,BLACK/SMALLBLACK:LARGE,['내 키를 감당할 바지를 찾아다니다가 골랐는데 왕 길고 왕커서 맘에 듦 ㅋ.'],https://image.msscdn.net/data/estimate/2352974_0/gallery_62163ac028fe7.jpg.view,1,2,2,2,2,0,0,0,0
풀썬해,2022.02.24,2352974,0,1, 163cm, 60kg,HEATHERGRAY/SMALLHEATHERGRAY:LARGE,"['라이트그레이랑 파랑?하늘?색 조화가 진짜…와….. 예뻐요 ', <br/>, '프렌다 3번째 구매인데 다 만족이에요']",https://image.msscdn.net/data/estimate/2352974_0/gallery_62163a8cdadd8.jpg.view,1,2,2,1,3,0,0,0,0
하하51,2022.02.20,2352974,0,1, 157cm, 45kg,HEATHERGRAY/SMALLHEATHERGRAY:SMALL,"['무난하고 숏패딩에 같이입으니까 귀엽네여 ', <br/>, '잘 입을게요']",https://image.msscdn.net/data/estimate/2352974_0/gallery_621090548443a.jpg.view,1,1,2,2,2,0,0,0,0
곽삼칠,2022.03.16,2352974,0,1, 173cm, 60kg,HEATHERGRAY/SMALLHEATHERGRAY:LARGE,"['바지 L 상의 S', <br/>, <br/>, '바지가 진짜!!! 커요!!!! 지금 살 쪄서 65에 상체 마르고 골반 허벅지 엉덩이 큰 체형인데 진짜 커요 허리는 걍 좔좔 내려감 끈 안 당기면 골반에 걸쳐입는 수준', <br/>, '상의는 S해도 전혀 안 작음 헐렁하고 키 큰 사람 기준 소매도 길어서 좋음', <br/>, '가격이 싼만큼 도톰하진 않고 두께 얇아요 안쪽도 까끌한 쭈리면임 그래도 전 이 가격에 츄리닝 세트 샀는데 이 디자인 이 품질이면 쌉만족함']",,0,1,2,2,3,0,0,0,0
뉴비_46a8e07b,2022.03.15,2352974,0,1, 175cm, 60kg,BLACK/MEDIUMBLACK:LARGE,['그냥 무난합니다 바지에 고무가 짱짱한 것 같아요'],,0,2,2,2,2,0,0,0,0
Hooon2,2022.03.08,2352974,0,1, 165cm, 58kg,HEATHERGRAY/MEDIUMHEATHERGRAY:MEDIUM,['생각보다 많이 얇고 사이즈는 생각보다 많이 커요 특히 바지는 여성분들은 대부분 s 하셔야 할꺼같아요! 상의 사이즈는 크게 입으시는 분들은 자유롭게 선택하셔도 될꺼같긴 한데 저한테 m이 오버핏 되게 좋았어요'],,0,1,1,2,3,0,0,0,0
뉴비_034db809ee8b,2022.03.05,2352974,0,1, 160cm, 46kg,HEATHERGRAY/SMALLHEATHERGRAY:SMALL,['디자인은 마음에 드는데 팔길이도 길고 바지통이 생각보다 많이커요. 반품하려다 자수가 예뻐서 그냥입어요~~'],,0,1,2,2,2,0,0,0,0
코우군,2022.03.04,2352974,0,1, 165cm, 60kg,BABYBLUE/MEDIUMBABYBLUE:MEDIUM,['한번 빨았는데 목부분이 약합니다 근데 색감이 너무 예쁘고 핏도 예뻐서 괜찮아요~ 가성비템이에요!!'],,0,2,2,2,2,0,0,0,0
뀽꽁꿍,2022.03.04,2352974,0,1, 161cm, 52kg,BABYBLUE/SMALLBABYBLUE:SMALL,['지금딱입기좋은두께인거같아오!바지는약갇큰느낌이에요!그래도색이진짜이뻐요👏🏻잘입을게요'],,0,1,1,1,2,0,0,0,0
슨레,2022.03.01,2352974,0,1, 168cm, 75kg,BLACK/LARGEBLACK:MEDIUM,"['블랙색상 구매했고요.', <br/>, '사이즈 다르게 선택할수 있어서 좋았어용 ', <br/>, '상의는 박시하게 입고싶어서 라지 ', <br/>, '근데 길이가 좀 아쉬워서 왜 스몰사이즈가 저런지 이해가 갔어용', <br/>, '하의는 대체적으로 크게나왔길래 미디움햇는데 잘 고른듯']",,0,2,3,1,2,0,0,0,0
